,,MN,MN,MN,MN,MN,MN,MN,0,G1,G1,G1,G1,G1,G1,G1,,NH,NH,NH,NH,NH,NH,NH,1,G2,G2,G2,G2,G2,G2,G2,,DD,DD,DD,DD,DD,DD,DD,0,G3,G3,G3,G3,G3,G3,G3,,SH,SH,SH,SH,SH,SH,SH,0,G4,G4,G4,G4,G4,G4,G4
2-Feb-13,8:21:32,,,,M,N,S,,0,,,,,,,,,,,L,,,,,1,,C>,,,,,,,,,,,,,,0,,,,,,,,,A,,,,,,T,0,,,,,,,
2-Feb-13,8:21:44,,,L,M,N,S,,0,,,,,,,,,,,,,,,,1,,C>,,,,,,,,,,,,,,0,,,,,,,,,A,,,,,,T,0,,,,,,,
2-Feb-13,8:21:45,,,L,M,N,S,,0,,,,,,,,,,C,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,A,,,,,,T,0,,,,,,,
2-Feb-13,8:21:55,,,L,M,N,S,,0,,,,,,,,,,C,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,<T,,A,,,,,,,0,,,,,,,
2-Feb-13,8:22:00,,,L,M,N,S,,0,,,,,,,,,,C,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,<T,,A,,,,,,,0,,,,,,,
2-Feb-13,8:22:03,,,L,M,N,,,0,,,,,,,,,,C,,,,S,,1,,,,,,,,,,,,,,,,0,,,,,,,<T,,A,,,,,,,0,,,,,,,
2-Feb-13,8:22:06,,,L,M,N,,,0,,,,,,,,,,C,,,,S,,1,,,,,,,,,,,,,,,T,0,,,,,,,,,A,,,,,,,0,,,,,,,
2-Feb-13,8:22:34,,,,M,N,,,0,,,,,,,,,,C,,,,S,,1,,,,,,,,,,,,,,,T,0,,,,,,,,,A,,L,,,,,0,,,,,,,
2-Feb-13,8:22:43,,,L,M,N,,,0,,,,,,,,,,C,,,,S,,1,,,,,,,,,,,,,,,T,0,,,,,,,,,A,,,,,,,0,,,,,,,
2-Feb-13,8:22:55,,,,M,N,,,0,,,,,,,,,,C,,,,S,,1,,,,,,,,,,,,,,,T,0,,,,,,,,,A,,L,,,,,0,,,,,,,
2-Feb-13,8:23:00,,,,M,N,,,0,,,,,,,,,,C,,,,S,,1,,,,,,,,,,,,,,,T,0,,,,,,,,,A,,L,,,,,0,,,,,,,
2-Feb-13,8:23:03,,,,M,N,,,0,,,,,,,,,,C,,,,S,,1,,,,,,,,,,,L,,,,T,0,,,,,,,,,A,,,,,,,0,,,,,,,
2-Feb-13,8:23:04,,,,M,N,,,0,,,,,,,,,,C,,,,S,,1,,,,,,,,,,,L,,,,,0,,,,,,,,,A,,,,,,T,0,,,,,,,
2-Feb-13,8:23:23,,,,M,N,,,0,,,,,,,,,,C,,,,S,,1,,,,,,,,,,,,,,,,0,,,,,,,,,A,,L,,,,T,0,,,,,,,
2-Feb-13,8:23:27,,,,M,N,,,0,,,,,,,,,,C,,,,S,,1,,,,,,,,,,,,,,,T,0,,,,,,,,,A,,L,,,,,0,,,,,,,
2-Feb-13,8:23:43,,,,M,N,,,0,,,,,,,,,,C,,,,S,,1,,,,,,,,,,,,,,,,0,,,,,,,,,A,,L,,,,T,0,,,,,,,
2-Feb-13,8:23:54,,C,,M,N,,,0,,,,,,,,,,,,,,S,,1,,,,,,,,,,,,,,,,0,,,,,,,,,A,,L,,,,T,0,,,,,,,
2-Feb-13,8:24:00,,C,,M,N,,,0,,,,,,,,,,,,,,S,,1,,,,,,,,,,,,,,,,0,,,,,,,,,A,,L,,,,T,0,,,,,,,
2-Feb-13,8:24:03,,C,,M,N,,,0,,,,,,,,,,,,,,S,,1,,,,,,,,,,,,,,,,0,,,,,,,<T,,A,,L,,,,,0,,,,,,,
2-Feb-13,8:24:31,,C,,M,N,,,0,,,,,,,,,,,,,,S,,1,,,,,,,,,,,L,,,,,0,,,,,,,<T,,A,,,,,,,0,,,,,,,
2-Feb-13,8:24:34,,C,,M,N,,,0,,,,,,,,,,,,,,S,,1,,,,,,,,,,,L,,,,,0,,,,,,,,,A,,,,,,T,0,,,,,,,
2-Feb-13,8:24:51,,C,,M,N,,,0,,,,,,,,,,,,,,S,,1,,,,,,,,,,,,,,,,0,,,L>,,,,,,A,,,,,,T,0,,,,,,,
2-Feb-13,8:25:00,,C,,M,N,,,0,,,,,,,,,,,,,,S,,1,,,,,,,,,,,,,,,,0,,,L>,,,,,,A,,,,,,T,0,,,,,,,
2-Feb-13,8:25:02,,C,,M,N,,,0,,,,,,,,,,,,,,S,,1,,,,,,,,,,,,,,,,0,,,,,,,,,A,,L,,,,T,0,,,,,,,
2-Feb-13,8:25:25,,C,,M,N,,,0,,,,,,,,,,,,,,S,,1,,,,,,,,,A,,,,,,,0,,,,,,,,,,,L,,,,T,0,,,,,,,
2-Feb-13,8:25:32,,C,,M,N,,,0,,,,,,,,,,,,,,S,,1,,,,,,,,,,,,,,,,0,,,,,,,,,A,,L,,,,T,0,,,,,,,
2-Feb-13,8:25:52,,C,L,M,N,,,0,,,,,,,,,,,,,,S,,1,,,,,,,,,,,,,,,,0,,,,,,,,,A,,,,,,T,0,,,,,,,
2-Feb-13,8:26:00,,C,L,M,N,,,0,,,,,,,,,,,,,,S,,1,,,,,,,,,,,,,,,,0,,,,,,,,,A,,,,,,T,0,,,,,,,
2-Feb-13,8:26:41,,C,L,M,N,,,0,,,,,,,,,,,,,,S,,1,,,,,,,,,A,,,,,,,0,,,,,,,,,,,,,,,T,0,,,,,,,
2-Feb-13,8:27:00,,C,L,M,N,,,0,,,,,,,,,,,,,,S,,1,,,,,,,,,A,,,,,,,0,,,,,,,,,,,,,,,T,0,,,,,,,
2-Feb-13,8:27:03,,C,L,M,N,,,0,,,,,,,,,,,,,,S,,1,,,,,,,,,A,,,,,,T,0,,,,,,,,,,,,,,,,0,,,,,,,
2-Feb-13,8:27:12,,C,L,M,N,,,0,,,,,,,,,,,,,,S,,1,,,,,,,,,,,,,,,T,0,,,,,,,,,A,,,,,,,0,,,,,,,
2-Feb-13,8:27:20,,C,,M,N,,,0,,,,,,,,,,,,,,S,,1,,,,,,,,,,,,,,,T,0,,,,,,,,,A,,L,,,,,0,,,,,,,
2-Feb-13,8:27:45,,C,,M,N,,,0,,,,,,,,,,,,,,S,,1,,,,,,,,,,,L,,,,T,0,,,,,,,,,A,,,,,,,0,,,,,,,
2-Feb-13,8:28:00,,C,,M,N,,,0,,,,,,,,,,,,,,S,,1,,,,,,,,,,,L,,,,T,0,,,,,,,,,A,,,,,,,0,,,,,,,
2-Feb-13,8:28:14,,C,,M,N,,,0,,,,,,,,,,,,,,S,,0,,,,,,,,,,,L,,,,,0,,,,,,,,,A,,,,,,T,0,,,,,,,
2-Feb-13,8:28:19,,C,,M,N,,,0,,,,,,,,,,,,,,S,,1,,,,,,,,,,,,,,,,0,,,,,,,,,A,,L,,,,T,0,,,,,,,
2-Feb-13,8:28:37,,C,,M,N,,,0,,,,,,,,,,,,,,S,,1,,,,,,,,,,,,,,,T,0,,,,,,,,,A,,L,,,,,0,,,,,,,
2-Feb-13,8:28:43,,C,,M,N,,,0,,,,,,,,,,,,,,,,1,,,,,,S>,,,,,L,,,,T,0,,,,,,,,,A,,,,,,,0,,,,,,,
2-Feb-13,8:28:57,,C,,M,N,,,0,,,,,,,,,,,,,,,,1,,,,,,S>,<T,,,,L,,,,,0,,,,,,,,,A,,,,,,,0,,,,,,,
2-Feb-13,8:29:00,,C,,M,N,,,0,,,,,,,,,,,,,,,,1,,,,,,S>,<T,,,,L,,,,,0,,,,,,,,,A,,,,,,,0,,,,,,,
2-Feb-13,8:29:13,,C,,M,N,,,0,,,,,,,,,,,,,,,,1,,,<L,,,S>,<T,,,,,,,,,0,,,,,,,,,A,,,,,,,0,,,,,,,
2-Feb-13,8:29:37,,C,,M,N,,,0,,,,,,,,,,,,,,S,,1,,,<L,,,,<T,,,,,,,,,0,,,,,,,,,A,,,,,,,0,,,,,,,
2-Feb-13,8:29:49,,C,,M,N,,,0,,,,,,,,,,,,,,S,,1,,,<L,,,,,,,,,,,,T,0,,,,,,,,,A,,,,,,,0,,,,,,,
2-Feb-13,8:29:55,,C,,M,N,,,0,,,,,,,,,,,,,,S,,1,,,,,,,,,,,L,,,,T,0,,,,,,,,,A,,,,,,,0,,,,,,,
2-Feb-13,8:30:00,,C,,M,N,,,0,,,,,,,,,,,,,,S,,1,,,,,,,,,,,L,,,,T,0,,,,,,,,,A,,,,,,,0,,,,,,,
2-Feb-13,8:30:02,,C,,M,N,,,0,,,,,,,,,,,,,,S,,1,,,,,,,,,A,,L,,,,T,0,,,,,,,,,,,,,,,,0,,,,,,,
2-Feb-13,8:30:07,,C,,M,N,,,0,,,,,,,,,,,,,,S,,1,,,,,,,,,A,,,,,,T,0,,,,,,,,,,,L,,,,,0,,,,,,,
2-Feb-13,8:30:26,,C,,M,N,,,0,,,,,,,,,,,,,,S,,1,,,,,,,,,,,,,,,T,0,,,,,,,,,A,,L,,,,,0,,,,,,,
